,mom_3m,mom_12m,vol_3m,dd_12m,score
FISV,-0.4790058660080272,-0.673455565768468,0.9300186638081777,-0.7161360864628454,-3.3008679419328417
ARE,-0.4203935599284436,-0.5086442220200182,0.5494266375229031,-0.5272833381966735,-2.454292242936068
LW,-0.23668960521550164,-0.3403755868544601,0.5943702226600149,-0.3708955223880597,-1.7005657843145627
CHTR,-0.24228237015362097,-0.4072081610461705,0.31836632247037966,-0.5151316559391457,-1.6817318361340292
MOH,-0.14136889259297836,-0.44027164685908315,0.49878936857194334,-0.5333484316611935,-1.6595615592244355
COIN,-0.24213826417991613,-0.11653925041954116,0.6247915663979062,-0.4356567725951689,-1.4779600241964634
DECK,-0.025337997541835966,-0.5035396099205394,0.49019171092799224,-0.5379409260006275,-1.469590302185751
LYB,-0.12537917087967654,-0.4156195108769085,0.3915535243526087,-0.45023515952713866,-1.4292092943174848
CLX,-0.20789452528338292,-0.39585504935924953,0.23396010153547714,-0.3990973958650973,-1.4203095371418866
IT,-0.04347002915672671,-0.4815278518944214,0.3680983441093434,-0.5393522739706043,-1.3772246520654439
BAX,-0.11828935395814388,-0.3358464701850583,0.40956024741931407,-0.4700574241181297,-1.3321441725997618
CMG,-0.0566367265469061,-0.3860019486846378,0.4909679412846717,-0.39251285347043696,-1.2658346457545893
BLDR,-0.1202199661590525,-0.30222102932295514,0.41221444286870407,-0.4006685493631491,-1.2375069946883752
HPQ,-0.12916510670160986,-0.3000300932891964,0.3790361950728914,-0.3300691244239631,-1.1714306512990145
DOW,0.014372822299651533,-0.41731298473855394,0.46231899111156044,-0.4444179389312978,-1.1575708721364635
GDDY,-0.10134370579915142,-0.3796621753563757,0.23452827760440398,-0.4071845113132727,-1.1524350723004448
KMB,-0.17368894706700488,-0.23158855751673768,0.34189765786768006,-0.3147896879240163,-1.1370241600497286
IP,-0.11981465136804947,-0.2679390713892458,0.4080684566928709,-0.3361624230321185,-1.1343798046681748
ERIE,-0.1063008323048199,-0.3281788985369336,0.29856489316567375,-0.3732939792725417,-1.1210078816353395
CPRT,-0.12413639402718968,-0.32659355723098016,0.20922677476414425,-0.38439849624060163,-1.0924306969803996
