,mom_3m,mom_12m,vol_3m,dd_12m,score
MU,0.8108348699688435,2.174208649130629,0.6674432601033359,-0.006592716617831673,4.304799146705529
LRCX,0.38759448297358357,1.4128726287262872,0.5049585588385119,0.0,2.375196250837537
DG,0.3497845671758715,0.8472259447869204,0.42872584779246425,0.0,1.5614666340519558
CAH,0.35508424956086126,0.7599493029150823,0.3456460580440054,-0.025452673934403203,1.5439520350410438
HII,0.25956882017433736,0.8440733154771283,0.3111290431566113,-0.0121536081024054,1.4548964440806955
KLAC,0.202303883340067,0.9747218321270388,0.41482499971092307,0.0,1.4026679759719416
LLY,0.48749551439534056,0.3534811875219772,0.31539244934844973,-0.02900156765230555,1.318353188525364
DLTR,0.3039133179044813,0.6811338668113387,0.3859657135635362,-0.05504307387359908,1.301145963149026
APH,0.12096247960848294,0.9359064656993945,0.3473070052865817,-0.044629822732012436,1.2494689381618984
AMD,0.34823780258372006,0.7254414125200643,0.7660628810963069,-0.18666061362690567,1.2425154843844337
GM,0.35630306988896154,0.580289193302892,0.38703404794332613,0.0,1.2400407576699404
FCX,0.48363636363636364,0.3513375796178344,0.36885735939307535,0.0,1.2371853898337541
HWM,0.09355423246181727,0.9108015198118327,0.25982808100228205,-0.004477541594004708,1.1936761411530121
GOOG,0.27421312403916165,0.6070207663656306,0.2950922120361037,-0.026819923371647514,1.1837755116750979
GOOGL,0.271639490549201,0.6107999794481838,0.3014366008640186,-0.030701211971308484,1.180527265557112
GLW,0.12879647132955263,0.8856842105263156,0.38876418078929537,-0.06668750651245192,1.1793104387839768
C,0.1643782633919939,0.7259567149204531,0.24265184468001505,-0.009378084896347505,1.1217235022977425
CAT,0.25171762281003085,0.5955554339199212,0.3701677367306771,-0.06810952510349899,1.0820306410955067
GE,0.06834361651637377,0.8645130753756949,0.25069417076070116,-0.005082872928176885,1.0777393802267357
AMAT,0.2843271871322086,0.5639555714797562,0.42907020714805477,-0.04815555151735418,1.0484022087937905
